timestamp,mode,hostname,node_cpu_seconds_total,node_filesystem_avail_bytes,node_filesystem_size_bytes,node_disk_read_bytes_total,node_disk_written_bytes_total,node_network_receive_bytes_total,node_network_receive_drop_total,node_network_receive_errs_total,node_network_transmit_packets_total,node_vmstat_pgmajfault,node_memory_MemAvailable_bytes,node_memory_MemTotal_bytes,node_forks_total,node_intr_total,node_load1,node_load5,node_load15,node_sockstat_TCP_alloc,node_sockstat_TCP_inuse,node_sockstat_TCP_mem,node_sockstat_TCP_mem_bytes,node_sockstat_UDP_inuse,node_sockstat_UDP_mem,node_sockstat_sockets_used,node_netstat_Tcp_CurrEstab,node_filefd_allocated,mmap,munmap,accept,brk,bind,connect,chdir,clone,close,kill,listen,mkdir,open,poll,read,rename,recvfrom,select,socket,sendto,write
2024-11-15 15:19:40,normal_traffic,unknown,312622.75000000006,208018710528,232610275328,1325872128,3556164608,297891749047,0,0,895737103,7516,13084094464,16440401920,65792,354393977,2.31,2.32,2.28,11,5,1967,8056832,5,768,1361,5,16072,36840,5891,0,4186,1132,829,106,5564,412672,2543,0,84,0,71723289,0,80,13983614,0,6657,13894469,0
2024-11-15 15:19:41,normal_traffic,unknown,339265.29000000004,223170914304,248547655680,1364930048,1397467136,61648365138,0,0,185271228,7384,13510643712,16440418304,36872,81317181,2.5,2.49,2.28,11,5,1030,4218880,5,256,1355,5,14416,735,115,0,127,1068,323,4,59,302908,66,0,6,0,66494232,0,4,12923205,0,1721,12879239,0
2024-11-15 15:19:41,normal_traffic,unknown,315864.04999999993,205938173952,230966169600,1496346112,3238396928,286584221654,0,0,873686122,6403,14088847360,16440193024,52411,339901869,2.57,2.53,2.34,11,6,1393,5705728,5,512,836,5,8672,1287,105,0,50,761,16784,4,251,229037,60,0,10,0,45432584,0,12,8816421,0,16744,8784791,0
2024-11-15 15:19:44,normal_traffic,unknown,312692.67000000004,208018710528,232610275328,1325872128,3556193280,297999638171,0,0,896061699,7516,13087297536,16440401920,65800,354522484,2.29,2.31,2.28,11,5,1967,8056832,5,768,1359,5,16072,36846,5895,0,4186,1133,829,106,5564,413171,2543,0,84,0,71839863,0,80,14006298,0,6670,13917038,0
2024-11-15 15:19:45,normal_traffic,unknown,339335.12000000005,223170914304,248547655680,1364930048,1397467136,61753812799,0,0,185588477,7384,13512138752,16440418304,36880,81440996,2.46,2.48,2.28,11,5,1286,5267456,5,256,1353,5,14416,735,115,0,127,1069,323,4,59,303225,66,0,6,0,66608176,0,4,12945338,0,1722,12901385,0
2024-11-15 15:19:45,normal_traffic,unknown,315933.8,205938173952,230966169600,1496346112,3238396928,286685443836,0,0,874010157,6403,14089302016,16440193024,52419,340028861,2.52,2.52,2.34,11,6,1393,5705728,5,512,838,5,8672,1287,105,0,50,762,16784,4,251,229585,60,0,10,0,45548890,0,12,8839080,0,16746,8807295,0
2024-11-15 15:19:48,normal_traffic,unknown,312762.55,208018710528,232610275328,1325872128,3556193280,298109437664,0,0,896392041,7516,13084454912,16440401920,65808,354652525,2.29,2.31,2.28,11,5,1967,8056832,5,768,1362,5,16072,36848,5897,0,4186,1133,829,106,5564,413305,2543,0,84,0,71958785,0,80,14029648,0,6682,13939859,0
2024-11-15 15:19:49,normal_traffic,unknown,339404.9700000001,223170914304,248547655680,1364930048,1397467136,61862446537,0,0,185915318,7384,13510709248,16440418304,36888,81563791,2.42,2.47,2.28,11,5,1030,4218880,5,256,1355,5,14416,735,115,0,127,1070,323,4,59,303880,66,0,6,0,66725489,0,4,12967949,0,1724,12924079,0
2024-11-15 15:19:49,normal_traffic,unknown,316003.54999999993,205938173952,230966169600,1496346112,3238396928,286786022935,0,0,874332135,6403,14089641984,16440193024,52427,340156165,2.52,2.52,2.34,11,6,1393,5705728,5,512,836,5,8672,1287,105,0,50,764,16784,4,251,230303,60,0,10,0,45664416,0,12,8861451,0,16749,8829693,0
2024-11-15 15:19:52,normal_traffic,unknown,312832.54,208018706432,232610275328,1325872128,3556193280,298219969347,0,0,896724586,7516,13080682496,16440401920,65875,354775518,2.26,2.31,2.28,11,5,1967,8056832,5,768,1362,5,16032,36852,5898,0,4186,1134,829,106,5564,413711,2543,0,84,0,72078024,0,80,14052899,0,6696,13963252,0
2024-11-15 15:19:53,normal_traffic,unknown,339474.82,223170914304,248547655680,1364930048,1397467136,61968340907,0,0,186233912,7384,13514756096,16440418304,36896,81685565,2.39,2.46,2.28,11,5,1030,4218880,5,256,1356,5,14416,735,115,0,127,1072,323,4,59,304497,66,0,6,0,66839919,0,4,12990089,0,1728,12946452,0
2024-11-15 15:19:53,normal_traffic,unknown,316073.39,205938173952,230966169600,1496346112,3238396928,286887920385,0,0,874658333,6403,14089465856,16440193024,52435,340277085,2.48,2.51,2.34,11,6,1393,5705728,5,512,838,5,8672,1287,105,0,50,765,16784,4,251,230894,60,0,10,0,45781547,0,12,8884213,0,16751,8852313,0
2024-11-15 15:19:56,normal_traffic,unknown,312902.55000000005,208018706432,232610275328,1325872128,3556193280,298330094367,0,0,897055908,7516,13079470080,16440401920,65883,354900845,2.24,2.3,2.27,11,5,1967,8056832,5,768,1362,5,16032,37236,5933,0,4222,1137,836,107,5612,414676,2544,0,86,0,72196014,0,80,14075937,0,6720,13986316,0
2024-11-15 15:19:57,normal_traffic,unknown,339544.6600000001,223170914304,248547655680,1364930048,1397467136,62075511906,0,0,186556343,7384,13512818688,16440418304,36904,81815126,2.36,2.46,2.27,11,5,1030,4218880,5,256,1356,5,14416,735,115,0,127,1072,323,4,59,304779,66,0,6,0,66955573,0,4,13012705,0,1729,12969035,0
2024-11-15 15:19:57,normal_traffic,unknown,316143.26000000007,205938173952,230966169600,1496346112,3238396928,286990848089,0,0,874987827,6403,14090088448,16440193024,52443,340390324,2.44,2.5,2.33,11,6,1393,5705728,5,512,836,5,8672,1287,105,0,50,769,16784,4,251,232155,60,0,10,0,45899288,0,12,8906977,0,16755,8875300,0
2024-11-15 15:20:00,normal_traffic,unknown,312972.39,208018702336,232610275328,1325872128,3556328448,298438021079,0,0,897380617,7516,13079359488,16440401920,65894,355022696,2.22,2.3,2.27,11,5,1967,8056832,5,768,1362,5,16032,37238,5936,0,4222,1139,836,107,5612,415453,2544,0,86,0,72312550,0,80,14098517,0,6733,14008765,0
2024-11-15 15:20:01,normal_traffic,unknown,339614.22,223170914304,248547655680,1364930048,1397467136,62181031283,0,0,186873806,7384,13513748480,16440418304,36912,81947333,2.36,2.46,2.27,11,5,774,3170304,5,256,1356,5,14416,735,115,0,127,1074,323,4,59,305720,66,0,6,0,67069094,0,4,13034876,0,1729,12991096,0
2024-11-15 15:20:01,normal_traffic,unknown,316212.92,205938173952,230966169600,1496346112,3238396928,287091678585,0,0,875310604,6403,14087544832,16440193024,52451,340518218,2.41,2.49,2.33,11,6,1393,5705728,5,512,836,5,8672,1287,105,0,50,771,16784,4,251,232518,60,0,10,0,46014993,0,12,8929568,0,16757,8897969,0
2024-11-15 15:20:04,normal_traffic,unknown,313042.48,208018702336,232610275328,1325872128,3556340736,298548255846,0,0,897712270,7516,13081841664,16440401920,65902,355148413,2.2,2.29,2.27,11,5,1967,8056832,5,768,1359,5,15992,37243,5936,0,4222,1140,836,107,5612,416247,2544,0,86,0,72431274,0,80,14121696,0,6744,14031736,0
2024-11-15 15:20:05,normal_traffic,unknown,339683.7,223170910208,248547655680,1364930048,1397479424,62288753478,0,0,187197898,7384,13515657216,16440418304,36923,82072419,2.33,2.45,2.27,11,5,774,3170304,5,256,1356,5,14416,735,115,0,127,1074,323,4,59,305744,66,0,6,0,67185753,0,4,13057597,0,1729,13013894,0
2024-11-15 15:20:05,normal_traffic,unknown,316282.26,205938173952,230966169600,1496346112,3238413312,287194853079,0,0,875640886,6403,14086942720,16440193024,52460,340641599,2.37,2.48,2.33,11,6,1393,5705728,5,512,836,5,8672,1287,105,0,50,771,16784,4,251,233030,60,0,10,0,46133530,0,12,8952861,0,16758,8920798,0
2024-11-15 15:20:08,normal_traffic,unknown,313112.37,208018702336,232610275328,1325872128,3556398080,298657040534,0,0,898039559,7516,13078573056,16440401920,65910,355278950,2.2,2.29,2.27,11,5,1967,8056832,5,768,1361,5,15992,37313,5942,0,4224,1140,836,107,5614,416457,2544,0,87,0,72548925,0,80,14144705,0,6753,14054431,0
2024-11-15 15:20:09,normal_traffic,unknown,339753.46,223170910208,248547655680,1364930048,1397524480,62395623077,0,0,187519431,7384,13519568896,16440418304,36931,82199006,2.38,2.46,2.28,11,5,1031,4222976,5,256,1356,5,14416,801,115,0,127,1074,323,4,60,305854,66,0,6,0,67301647,0,4,13079949,0,1730,13036175,0
